team_name,time,fitness
identical,19,-14187.25
identical,20,-14187.25
identical,21,-14187.25
identical,22,-13994.25
identical,23,-13994.25
identical,24,-13106.5
identical,25,-13106.5
identical,26,-12597.25
identical,27,-12237.25
identical,28,-12166.0
identical,29,-12166.0
identical,30,-12118.0
identical,31,-12081.25
identical,32,-11476.5
identical,33,-11085.0
identical,34,-11004.25
identical,35,-10380.5
identical,36,-10380.5
identical,37,-9627.25
identical,38,-9627.25
identical,39,-9627.25
identical,40,-9185.25
identical,41,-8902.25
identical,42,-8902.25
identical,43,-8872.5
identical,44,-8872.5
identical,45,-8872.5
identical,46,-8744.25
identical,47,-8684.25
identical,48,-8684.25
identical,49,-8684.25
identical,50,-8620.0
identical,51,-8306.25
identical,52,-8100.0
identical,53,-8100.0
identical,54,-8100.0
identical,55,-7796.25
identical,56,-7529.25
identical,57,-7102.0
identical,58,-6862.0
identical,59,-6862.0
identical,60,-6862.0
identical,61,-6686.25
identical,62,-6229.25
identical,63,-6228.25
identical,64,-5518.5
identical,65,-5518.5
identical,66,-5518.5
identical,67,-5518.5
identical,68,-5518.5
identical,69,-5466.25
identical,70,-5156.25
identical,71,-5002.5
identical,72,-5002.5
identical,73,-4609.0
identical,74,-4322.5
identical,75,-4322.5
identical,76,-4096.25
identical,77,-4010.25
identical,78,-4010.25
identical,79,-3553.0
identical,80,-3193.0
identical,81,-2918.25
identical,82,-2918.25
identical,83,-2918.25
identical,84,-2886.0
identical,85,-2710.0
identical,86,-2710.0
identical,87,-2664.25
identical,88,-2110.0
identical,89,-2110.0
identical,90,-2110.0
identical,91,-2110.0
identical,92,-1731.25
identical,93,-1541.25
identical,94,-1541.25
identical,95,-1541.25
identical,96,-1541.25
identical,97,-1473.0
identical,98,-1324.0
identical,99,-1324.0
