team_name,condition,time,fitness
identical,synchronic,0,-19900
identical,synchronic,1,-19900
identical,synchronic,2,-19806.25
identical,synchronic,3,-19403.25
identical,synchronic,4,-19403.25
identical,synchronic,5,-19403.25
identical,synchronic,6,-19403.25
identical,synchronic,7,-19403.25
identical,synchronic,8,-19403.25
identical,synchronic,9,-18913.0
identical,synchronic,10,-18913.0
identical,synchronic,11,-18913.0
identical,synchronic,12,-17954.5
identical,synchronic,13,-17669.25
identical,synchronic,14,-16742.25
identical,synchronic,15,-16486.5
identical,synchronic,16,-16486.5
identical,synchronic,17,-16486.5
identical,synchronic,18,-16160.5
identical,synchronic,19,-16150.0
identical,synchronic,20,-15876.25
identical,synchronic,21,-15876.25
identical,synchronic,22,-15321.25
identical,synchronic,23,-15321.25
identical,synchronic,24,-14952.25
identical,synchronic,25,-14952.25
identical,synchronic,26,-14952.25
identical,synchronic,27,-14952.25
identical,synchronic,28,-14952.25
identical,synchronic,29,-14952.25
identical,synchronic,30,-14696.5
identical,synchronic,31,-14525.0
identical,synchronic,32,-14525.0
identical,synchronic,33,-14265.25
identical,synchronic,34,-14265.25
identical,synchronic,35,-13862.5
identical,synchronic,36,-13862.5
identical,synchronic,37,-13862.5
identical,synchronic,38,-13789.25
identical,synchronic,39,-13789.25
identical,synchronic,40,-13789.25
identical,synchronic,41,-13789.25
identical,synchronic,42,-13209.0
identical,synchronic,43,-12885.0
identical,synchronic,44,-12885.0
identical,synchronic,45,-11617.0
identical,synchronic,46,-11617.0
identical,synchronic,47,-11617.0
identical,synchronic,48,-11617.0
identical,synchronic,49,-11617.0
identical,synchronic,50,-11270.25
identical,synchronic,51,-11270.25
identical,synchronic,52,-11153.25
identical,synchronic,53,-11153.25
identical,synchronic,54,-11153.25
identical,synchronic,55,-10924.0
identical,synchronic,56,-10767.25
identical,synchronic,57,-10767.25
identical,synchronic,58,-10767.25
identical,synchronic,59,-10767.25
identical,synchronic,60,-10767.25
identical,synchronic,61,-10767.25
identical,synchronic,62,-10061.0
identical,synchronic,63,-10061.0
identical,synchronic,64,-10016.25
identical,synchronic,65,-10016.25
identical,synchronic,66,-10016.25
identical,synchronic,67,-10016.25
identical,synchronic,68,-9861.25
identical,synchronic,69,-9798.25
identical,synchronic,70,-9536.25
identical,synchronic,71,-9536.25
identical,synchronic,72,-9536.25
identical,synchronic,73,-9536.25
identical,synchronic,74,-9534.5
identical,synchronic,75,-9534.5
identical,synchronic,76,-8866.25
identical,synchronic,77,-8866.25
identical,synchronic,78,-8866.25
identical,synchronic,79,-8498.5
identical,synchronic,80,-8100.0
identical,synchronic,81,-7937.25
identical,synchronic,82,-7554.25
identical,synchronic,83,-7076.25
identical,synchronic,84,-6731.25
identical,synchronic,85,-6510.5
identical,synchronic,86,-6510.5
identical,synchronic,87,-6510.5
identical,synchronic,88,-6215.25
identical,synchronic,89,-5824.5
identical,synchronic,90,-5404.5
identical,synchronic,91,-5404.5
identical,synchronic,92,-5404.5
identical,synchronic,93,-5404.5
identical,synchronic,94,-5404.5
identical,synchronic,95,-5322.5
identical,synchronic,96,-5322.5
identical,synchronic,97,-4922.25
identical,synchronic,98,-4446.0
identical,synchronic,99,-4446.0
overlapping,synchronic,0,-19212.25
overlapping,synchronic,1,-18718.5
overlapping,synchronic,2,-18066.25
overlapping,synchronic,3,-18066.25
overlapping,synchronic,4,-16926.25
overlapping,synchronic,5,-16926.25
overlapping,synchronic,6,-16926.25
overlapping,synchronic,7,-16832.5
overlapping,synchronic,8,-16832.5
overlapping,synchronic,9,-16100.5
overlapping,synchronic,10,-15491.25
overlapping,synchronic,11,-15491.25
overlapping,synchronic,12,-15212.5
overlapping,synchronic,13,-14972.25
overlapping,synchronic,14,-14972.25
overlapping,synchronic,15,-14972.25
overlapping,synchronic,16,-14972.25
overlapping,synchronic,17,-14972.25
overlapping,synchronic,18,-14972.25
overlapping,synchronic,19,-14185.0
overlapping,synchronic,20,-13631.25
overlapping,synchronic,21,-13631.25
overlapping,synchronic,22,-13631.25
overlapping,synchronic,23,-13189.0
overlapping,synchronic,24,-12080.5
overlapping,synchronic,25,-12080.5
overlapping,synchronic,26,-12080.5
overlapping,synchronic,27,-12080.5
overlapping,synchronic,28,-12080.5
overlapping,synchronic,29,-12080.5
overlapping,synchronic,30,-11612.5
overlapping,synchronic,31,-11081.25
overlapping,synchronic,32,-11081.25
overlapping,synchronic,33,-10864.5
overlapping,synchronic,34,-10864.5
overlapping,synchronic,35,-10864.5
overlapping,synchronic,36,-10864.5
overlapping,synchronic,37,-10778.25
overlapping,synchronic,38,-10778.25
overlapping,synchronic,39,-10053.25
overlapping,synchronic,40,-9506.25
overlapping,synchronic,41,-9506.25
overlapping,synchronic,42,-9309.0
overlapping,synchronic,43,-8821.25
overlapping,synchronic,44,-8821.25
overlapping,synchronic,45,-8821.25
