team,landscape,strategy,labor_hours,starting_pos,seed,time,pos,fitness
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,0,"[-100, -100]",-20000
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,1,"[-96, -101]",-19417
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,2,"[-96, -101]",-19417
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,3,"[-96, -101]",-19417
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,4,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,5,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,6,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,7,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,8,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,9,"[-92, -101]",-18665
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,10,"[-83, -102]",-17293
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,11,"[-84, -101]",-17257
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,12,"[-75, -102]",-16029
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,13,"[-76, -101]",-15977
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,14,"[-67, -102]",-14893
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,15,"[-67, -102]",-14893
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,16,"[-67, -102]",-14893
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,17,"[-67, -102]",-14893
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,18,"[-59, -103]",-14090
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,19,"[-59, -103]",-14090
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,20,"[-59, -103]",-14090
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,21,"[-59, -103]",-14090
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,22,"[-56, -103]",-13745
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,23,"[-54, -102]",-13320
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,24,"[-45, -102]",-12429
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,25,"[-37, -103]",-11978
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,26,"[-37, -103]",-11978
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,27,"[-29, -104]",-11657
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,28,"[-29, -104]",-11657
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,29,"[-29, -104]",-11657
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,30,"[-29, -104]",-11657
"{""players"": [{""vision_x"": 9, ""vision_y"": 1}, {""vision_x"": 1, ""vision_y"": 9}], ""name"": ""disjoint""}",SimpleHill,diachronic,50,"(-100, -100)",0,31,"[-29, -104]",-11657
